0x800000d4:csrrs  t1,mstatus,zero     t1=mstatus=0x00001800,mstatus|=zero=0x00001800|0x00000000=0x00001800
0x800000d8:addi   t1,zero,0x001       t1=0x00000000+0x00000001=0x00000001
0x800000dc:bne    a0,t1,0x008         (0x00000005!=0x00000001)=1->pc=0x800000ec
0x800000ec:addi   t0,t0,0x004         t0=0x80000130+0x00000004=0x80000134
0x800000f0:csrrw  zero,mepc,t0        zero=mepc=0x80000130,mepc=t0=0x80000134
0x800000f4:lw     ra,0x000(sp)        ra=mem[0x80007fe0]=0x80000128
0x800000f8:lw     a0,0x004(sp)        a0=mem[0x80007fe4]=0x80000154
0x800000fc:lw     t0,0x008(sp)        t0=mem[0x80007fe8]=0x80000004
0x80000100:lw     t1,0x00c(sp)        t1=mem[0x80007fec]=0x00000000
0x80000104:addi   sp,sp,0x010         sp=0x80007fe0+0x00000010=0x80007ff0
0x80000108:mret                       pc=0x80000134
>exception:store_fault                cause=0x00000007,epc=0x80000134,tval=0x00000003
0x80000004:jal    zero,0x0005a        pc=0x800000b8,zero=0x80000008
0x800000b8:addi   sp,sp,0xff0         sp=0x80007ff0+0xfffffff0=0x80007fe0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fe0]=0x80000128
0x800000c0:sw     a0,0x004(sp)        mem[0x80007fe4]=0x80000154
0x800000c4:sw     t0,0x008(sp)        mem[0x80007fe8]=0x80000004
0x800000c8:sw     t1,0x00c(sp)        mem[0x80007fec]=0x00000000
0x800000cc:csrrs  a0,mcause,zero      a0=mcause=0x00000007,mcause|=zero=0x00000007|0x00000000=0x00000007
0x800000d0:csrrs  t0,mepc,zero        t0=mepc=0x80000134,mepc|=zero=0x80000134|0x00000000=0x80000134
0x800000d4:csrrs  t1,mstatus,zero     t1=mstatus=0x00001800,mstatus|=zero=0x00001800|0x00000000=0x00001800
0x800000d8:addi   t1,zero,0x001       t1=0x00000000+0x00000001=0x00000001
0x800000dc:bne    a0,t1,0x008         (0x00000007!=0x00000001)=1->pc=0x800000ec
0x800000ec:addi   t0,t0,0x004         t0=0x80000134+0x00000004=0x80000138
0x800000f0:csrrw  zero,mepc,t0        zero=mepc=0x80000134,mepc=t0=0x80000138
0x800000f4:lw     ra,0x000(sp)        ra=mem[0x80007fe0]=0x80000128
0x800000f8:lw     a0,0x004(sp)        a0=mem[0x80007fe4]=0x80000154
0x800000fc:lw     t0,0x008(sp)        t0=mem[0x80007fe8]=0x80000004
0x80000100:lw     t1,0x00c(sp)        t1=mem[0x80007fec]=0x00000000
0x80000104:addi   sp,sp,0x010         sp=0x80007fe0+0x00000010=0x80007ff0
0x80000108:mret                       pc=0x80000138
0x80000138:ecall
>exception:environment_call           cause=0x0000000b,epc=0x80000138,tval=0x00000000
0x80000004:jal    zero,0x0005a        pc=0x800000b8,zero=0x80000008
0x800000b8:addi   sp,sp,0xff0         sp=0x80007ff0+0xfffffff0=0x80007fe0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fe0]=0x80000128
0x800000c0:sw     a0,0x004(sp)        mem[0x80007fe4]=0x80000154
0x800000c4:sw     t0,0x008(sp)        mem[0x80007fe8]=0x80000004
0x800000c8:sw     t1,0x00c(sp)        mem[0x80007fec]=0x00000000
0x800000cc:csrrs  a0,mcause,zero      a0=mcause=0x0000000b,mcause|=zero=0x0000000b|0x00000000=0x0000000b
0x800000d0:csrrs  t0,mepc,zero        t0=mepc=0x80000138,mepc|=zero=0x80000138|0x00000000=0x80000138
0x800000d4:csrrs  t1,mstatus,zero     t1=mstatus=0x00001800,mstatus|=zero=0x00001800|0x00000000=0x00001800
0x800000d8:addi   t1,zero,0x001       t1=0x00000000+0x00000001=0x00000001
0x800000dc:bne    a0,t1,0x008         (0x0000000b!=0x00000001)=1->pc=0x800000ec
0x800000ec:addi   t0,t0,0x004         t0=0x80000138+0x00000004=0x8000013c
0x800000f0:csrrw  zero,mepc,t0        zero=mepc=0x80000138,mepc=t0=0x8000013c
0x800000f4:lw     ra,0x000(sp)        ra=mem[0x80007fe0]=0x80000128
0x800000f8:lw     a0,0x004(sp)        a0=mem[0x80007fe4]=0x80000154
0x800000fc:lw     t0,0x008(sp)        t0=mem[0x80007fe8]=0x80000004
0x80000100:lw     t1,0x00c(sp)        t1=mem[0x80007fec]=0x00000000
0x80000104:addi   sp,sp,0x010         sp=0x80007fe0+0x00000010=0x80007ff0
0x80000108:mret                       pc=0x8000013c
0x8000013c:csrrs  t0,mstatus,zero     t0=mstatus=0x00000080,mstatus|=zero=0x00000080|0x00000000=0x00000080
0x80000140:lw     ra,0x000(sp)        ra=mem[0x80007ff0]=0x800000b0
0x80000144:addi   sp,sp,0x010         sp=0x80007ff0+0x00000010=0x80008000
0x80000148:addi   a0,zero,0x000       a0=0x00000000+0x00000000=0x00000000
0x8000014c:jalr   zero,ra,0x000       pc=0x800000b0+0x00000000,zero=0x80000150
0x800000b0:jal    zero,0xfffd8        pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,0x004(sp)        mem[0x80007ff4]=0x00000000
0x80000068:addi   a0,zero,0x020       a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x00020          a1=0x00020000
0x80000070:addi   a1,a1,0x026         a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0x000(sp)        mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp          a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x0000a          pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31        zero=0x00000000<<31=0x00000000
0x80000094:ebreak
